Code Name,Code Definition,
Methodological Constraints,"Refers to fundamental restrictions embedded in the design, logic, or mathematical assumptions of the chosen method or architecture that cannot be easily fixed without changing the core approach.",
Lack of Evaluation Metrics or Benchmarks,"Points out the absence of established standards, benchmarks, or effective mathematical formulas to measure a specific phenomenon accurately.",
Reliance on Automatic Metrics,"Criticizes the dependence on algorithmic scoring systems (e.g., BLEU, ROUGE) which may not correlate with human judgment or semantic understanding.",
Subjectivity in Evaluation/Annotation,"Refers to the inconsistency, bias, or lack of objectivity inherent in human annotations and assessments due to vague guidelines or personal interpretation.",
Scope Limitation,"Clarifies the deliberate boundaries set by the researchers, detailing what was explicitly excluded from the study (e.g., specific languages, model sizes).",`
High Time Consumption,"Describes processes that require excessive duration for training, processing, or inference (latency), making the method unsuitable for some applications.",
High Resource Requirements,"Refers to the requirement for significant processing power, high-performance hardware (e.g., A100 GPUs, TPU pods), or excessive usage of memory (RAM, VRAM, or disk storage), which may prevent the model from being deployed on consumer-grade hardware or edge devices.",
High Financial Cost,"Refers to prohibitive monetary expenses required to replicate or use the method, such as cloud computing fees, proprietary API costs, or paid datasets.",
Performance Trade-off,"Highlights scenarios where an improvement in one metric (e.g., efficiency, speed) results in a direct and unavoidable degradation of another metric (e.g., accuracy, quality).",
Data Scarcity,"Refers to the overall lack of sufficient data quantity, highlighting situations where there is very little data available or the data belongs to a niche domain, such as low-resource languages or tasks requiring rare examples.",
Dataset Bias/Imbalance,"Acknowledges that the researchers did not have or collect enough data for certain groups, leading to a skewed data distribution, class imbalances, or misrepresentations that contain social/demographic biases (e.g., gender, race).",
Dataset Noise/Errors,"Refers to low-quality data containing inaccuracies, typographical errors, wrong labels, formatting issues, or irrelevant content (""garbage"") that confuses the model.",
Data Leakage/Contamination,"Mentions the risk of evaluation data (test set) being inadvertently included or ""seen"" during the training phase, leading to invalid or inflated results.",
Reliance on External Tools,"Refers to the method's dependency on third-party software, APIs, parsers, or other models to function, which introduces risks of failure if those tools change or go offline.",
Dependency on Upstream Quality,States that the method's performance is strictly bottlenecked by the quality of the underlying base model or preprocessing steps (errors flow downstream).,
Lack of Interpretability,"Refers to the difficulty in understanding the internal decision-making logic of the model, often described as the ""Black Box"" problem.",
Model Hallucination/Incoherence,"Refers to the generation of output that is factually false, logically nonsensical, repetitive, or fluent but incorrect (common in LLMs).",
Potential for Misuse,"Emphasizes the ethical risks where the technology could be exploited for malicious purposes, fraud, disinformation, or harmful content generation.",
Non-Limitation: Method Details,Refers to factual descriptions of the proposed method which are typically stated to explain the root cause of a specific limitation.,
Non-Limitation: Method Strength,"Highlights the theoretical, structural, or conceptual advantages of the proposed approach, distinct from empirical performance.",
Non-Limitation: Strong Reported Performance,"Refers to statements explicitly highlighting the model's empirical success, effectiveness, or superior benchmark results.",
Non-Limitation: Anticipated Impact,"Expresses the authors' hopes, expectations, or the broader potential influence that their findings might have on the research community or industry.",
Non-Limitation: Contextual Justification,"Refers to explanations that provide external background, common field practices, or real-world constraints to defend and justify a limitation.",
Non-Limitation: Conducted Mitigation,"Describes proactive steps, alternative methods, or workarounds that the researchers have already implemented within the study to alleviate a limitation.",
Non-Limitation: Future Work,"Suggests potential improvements or delegates specific unaddressed features, unanswered questions, or planned extensions to be explored in subsequent studies.",
