Code Name,Code Definition,
Methodological Constraints,"Refers to fundamental restrictions embedded in the design, logic, or mathematical assumptions of the chosen method or architecture that cannot be easily fixed without changing the core approach. Includes: pipeline complexity, preprocessing overhead, training instability, hardware/framework incompatibilities, and the need for task-specific architectural adaptations.",
Lack of Reliable Evaluation Metrics or Benchmarks,"Points out the absence of established standards, benchmarks, or effective mathematical formulas to measure a specific phenomenon accurately. Includes: structural vulnerabilities where chosen metrics are inadequate, inconsistent, or structurally fail to measure critical qualitative dimensions of model behavior",
Reliance on Automatic Metrics,"Criticizes the dependence on algorithmic scoring systems (e.g., BLEU, ROUGE) which may not correlate with human judgment or semantic understanding. Includes: systematic biases introduced by using LLMs as automated evaluators (e.g., favoring their own generated text, preferring longer responses, or exhibiting instability and inconsistency across multiple evaluation runs).",
Subjectivity in Evaluation/Annotation,"Refers to the inconsistency, bias, or lack of objectivity inherent in human annotations and assessments due to vague guidelines or personal interpretation. Includes: specific demographic biases introduced by a lack of demographic diversity among human annotators.",
Scope Limitation,"Clarifies the deliberate boundaries set by the researchers, detailing what was explicitly excluded from the study (e.g., specific languages, model sizes).",`
Empirical Underperformance,"A quantitative and comparative shortfall where the proposed method explicitly fails to match or exceed the measurable performance metrics of established baselines, state-of-the-art models, human experts, or theoretical upper bounds, or yields only marginal and underwhelming empirical improvements.",
High Data Requirement,Refers to architectural constraints where methods inherently demand massive volumes of training data to function competitively,
Measurement Vulnerabilities,"Evaluation flaws where inconsistent experimental setups, lack of comparable baselines, hardware dependencies, missing ablation studies, or saturated benchmarks prevent a fair, comprehensive, and direct comparison with prior state-of-the-art work. Includes: high variance across different data splits, small evaluation scales preventing statistically robust conclusions, lack of expert validation, experimental design biases (e.g., ordering bias, outcome reporting, survivorship bias, or participant observation bias/Hawthorne effect), and proxy or surrogate model discrepancies.",
Generalization Gap,"A statistical and domain-transfer limitation where there is an empirical failure or uncertainty regarding a model's ability to maintain performance when transferred across different domains, languages, tasks, context lengths, modalities, cultural contexts, underlying model architectures, hardware platforms, or out-of-distribution datasets (e.g., zero-shot, long-tail, or out-of-vocabulary scenarios). Includes: vulnerability to overfitting on specific datasets or artifacts during training, and sensitivity to noisy, corrupted, or highly variable input data.",
Temporal Degradation,"A vulnerability where a model's effectiveness degrades over time, or a dataset becomes obsolete, due to shifting language patterns, concept drift, or temporal cutoffs.",
Theoretical Gap,"An analytical or epistemic limitation where the study identifies empirical success but lacks rigorous mathematical formalization, theoretical guarantees, or fails to isolate the underlying causal mechanisms and confounding variables driving the results.",
Reproducibility Gap,"A methodological and transparency barrier where the study lacks sufficient documentation, releases incomplete code, or omits crucial experimental configurations, preventing the broader research community from independently replicating the exact results or validating the original claims. Includes: the inability to accurately reproduce the results of external baselines due to unmaintained repositories or missing implementation details",
Hyperparameter Sensitivity,"A methodological and configuration fragility where a model's performance, stability, or success is highly contingent on precise architectural choices, random seed selection, or extensive manual tuning of mathematical hyperparameters, making the system difficult to optimize or reproduce without exhaustive trial and error.",
Prompt Sensitivity,"A linguistic and interaction fragility where a model's output quality, accuracy, or reasoning behavior fluctuates drastically based on minor variations in prompt wording, instructional phrasing, or formatting, demonstrating a lack of robustness to how a task is presented by the user. Includes: a strict dependency on high-quality, representative few-shot examples to function effectively.",
Model Reasoning and Generation Deficits,"A behavioral and algorithmic limitation where the model exhibits flawed internal logic, fails to capture deep semantic meaning, relies on superficial or spurious cues, suffers from catastrophic forgetting, or produces generic, repetitive, and degenerate outputs. Includes: inherent behavioral instability or non-determinism across inference runs, and susceptibility to reward hacking.",
Literature Coverage Gap,"A methodological and scoping limitation where the authors explicitly acknowledge the potential omission of relevant prior works, recent findings, or valuable contributions due to the rapid expansion, vast volume, or dynamic nature of the scholarly literature in the field",
